p_id,name,price,colour,brand
19145056,Baisacrafts Women Red Embroidered Pleated Pure Cotton Kurta with Churidar & Dupatta,4450.0,Red,Baisacrafts
15508918,Indo Era Women Yellow Floral Yoke Design Regular Kurta with Trousers & With Dupatta,6199.0,Yellow,Indo Era
17197472,heemara Women Purple Floral Embroidered Silk Chiffon Kurta with Trousers & With Dupatta,6599.0,Purple,heemara
13238316,Anouk Purple & White Striped Straight Kurta,1499.0,Purple,Anouk
3077373,HERE&NOW Women White Solid Straight Kurta,1599.0,White,HERE&NOW
18859760,Ahalyaa Women Black Floral Pleated Pure Cotton Kurti with Trousers,5500.0,Black,Ahalyaa
16919764,Rustorange Women Mustard Yellow Floral Printed Angrakha Kurti with Sharara,3649.0,Mustard,Rustorange
16941854,Varanga Women Lavender Ethnic Motifs Printed Panelled Gotta Patti Pure Cotton Kurti with Sharara & With,6599.0,Lavender,Varanga
15889764,HERE&NOW Women Green & White Ethnic Motifs Printed Kurta,899.0,Green,HERE&NOW
8529019,Varanga Mustard Marigold Cotton Straight Kurta,2199.0,Yellow,Varanga
17132180,Vishudh Women Black & Teal Blue Checked Pure Cotton Kurta with Palazzo & Dupatta,2399.0,Black,Vishudh
14967448,Indo Era Women Green Ethnic Motifs Printed Panelled Gotta Patti Pure Cotton Kurta with Trousers & With,4399.0,Green,Indo Era
14224394,Nayo Women Mustard Printed Straight Kurta With Plazzo  & Dupatta,3499.0,Mustard,Nayo
7156696,Vishudh Women White & Navy Blue Printed Anarkali Kurta,2149.0,White,Vishudh
17193226,KALINI Women Teal Blue & Golden Printed Kurti with Sharara,2499.0,Teal,KALINI
14949672,Stylum Women Pink Ethnic Motifs Printed Pure Cotton Kurta with Trousers & Dupatta,3200.0,Pink,Stylum
9370965,Sangria Women Pink Printed Straight Kurta,1299.0,Pink,Sangria
11434632,Inddus Women Red Embroidered Kurta with Trousers & Dupatta,5899.0,Red,Inddus
13962368,Indo Era Women Off White & Pink Printed Sequinned Cotton Kurta with Palazzos & Dupatta,6999.0,Off White,Indo Era
13932904,anayna Women Blue & White Geometric Screen Print Cotton Fusion Kurta,1660.0,Blue,anayna
18198270,Biba Women Mustard Yellow & Pink Floral Printed Pure Cotton Straight Kurta,1999.0,Mustard,Biba
17104862,Anouk Women Charcoal Grey Pure Cotton Printed Pleated Top with Palazzos,1899.0,Charcoal,Anouk
19240240,Charu Women Maroon Flared Sleeves Thread Work Kurta,3099.0,Maroon,Charu
15150344,Yufta Women Lavender & White Ethnic Motifs Printed Kurta with Trousers & Dupatta,3499.0,Lavender,Yufta
18165350,Indo Era Women Pink Ethnic Motifs Embroidered Kurta with Trousers & Dupatta,5999.0,Pink,Indo Era
12307502,Prakhya Women Pink Self Design Kurta with Trousers & Dupatta,3298.0,Pink,Prakhya
19261926,Baisacrafts Women's Blue Floral Dyed Pure Cotton Kurti With Trousers & Dupatta,3199.0,Blue,Baisacrafts
16287098,Nayo Women Navy Blue Ethnic Motifs Printed Cotton Kurta,1299.0,Navy Blue,Nayo
18963536,KALINI Women Green Ethnic Motifs Embroidered Thread Work Kurta,1400.0,Green,KALINI
15390174,Indo Era Women Blue Floral Printed Regular Pure Cotton Kurta with Palazzos & With Dupatta,3499.0,Blue,Indo Era
11197978,Anouk Women Lime Green & Blue Printed A-Line Kurta,1599.0,Lime Green,Anouk
10648236,Meeranshi Women Green Striped Straight Kurta,1399.0,Green,Meeranshi
17447636,Khushal K Women Green Ethnic Motifs Printed Gotta Patti Kurta with Trousers & Dupatta,5699.0,Green,Khushal K
17487138,Libas Women Green & Gold-Toned Geometric Print Gotta Patti Kurta with Skirt & Dupatta,3999.0,Green,Libas
16707970,mokshi Ethnic Motifs Viscose Rayon Kurta Set,3899.0,Green,mokshi
14121926,Anouk Women Purple Thread Work Kurta with Trousers & With Dupatta,4299.0,Purple,Anouk
17952212,Biba Women Mustard Yellow & Golden Ethnic Motifs Printed Kurta with Palazzos & Dupatta,3999.0,Mustard,Biba
18184744,Libas Women Red & Gold-Toned Ethnic Motifs Printed Kurta,1399.0,Red,Libas
13572242,Anubhutee Women Green & Blue Printed Kurta with Trousers,2989.0,Green,Anubhutee
15921898,Divena Women Pink Floral Embroidered Regular Gotta Patti Pure Cotton Kurta with Sharara & With Dupatta,7999.0,Pink,Divena
13647622,Varanga Women Pink & White Leheriya Printed Angrakha Kurta With Embroidery,3599.0,Pink,Varanga
15098616,Indo Era Women Burgundy & Golden Ethnic Motifs Yoke Design Kurta,2699.0,Burgundy,Indo Era
18887472,Rain & Rainbow Women Cream-Coloured & Blue Pure Cotton Printed Kurta,2995.0,Cream,Rain & Rainbow
19222130,heemara Women Maroon Ethnic Motifs Printed Kurta with Trousers & With Dupatta,7499.0,Maroon,heemara
19048738,anokherang Women Copper-Toned Pure Silk Kurta with Trousers & With Dupatta,4999.0,Copper,anokherang
9369411,Myshka Women Black & White Striped Straight Kurta,1699.0,Black,Myshka
17320642,Nayo Women Navy Blue & Pink Floral Printed Pure Cotton Kurta with Trousers & With Dupatta,3749.0,Navy Blue,Nayo
9861565,AHIKA Women Orange & Pink Digital Print Straight Kurta,860.0,Orange,AHIKA
15054430,Biba Women Green Ethnic Motifs Printed Regular Pure Cotton Kurta with Palazzos & With Dupatta,4995.0,Green,Biba
19236572,KALINI Women Black Ethnic Motifs Kurta,2399.0,Black,KALINI
16186448,Inddus Women Wine Self Design Anarkali Kurta with Printed Organza Dupatta,5999.0,Purple,Inddus
14323728,Indo Era Women Black & Golden Ethnic Motifs Yoke Design Kurta with Palazzos & With Dupatta,3999.0,Black,Indo Era
18778410,FASHOR Women Multicoloured & nirvana Chevron Printed Thread Work Kurta,1699.0,Multi,FASHOR
18200184,Biba Women Peach-Coloured Ethnic Motifs Printed Pure Cotton Kurta with Palazzos & With Dupatta,2999.0,Peach,Biba
17487160,Libas Women Blue & White Geometric Printed Pleated Cotton Kaftan Kurti with Trousers,1999.0,Blue,Libas
18952254,KALINI Women Pink Ethnic Motifs Embroidered Keyhole Neck Georgette Kurta,1150.0,Pink,KALINI
16190840,Anouk Women White Ethnic Motifs Printed Pleated Pure Cotton Kurta with Trousers,3299.0,White,Anouk
15508896,Indo Era Women Green Ethnic Motifs Yoke Design Kurta with Palazzos & With Dupatta,6599.0,Green,Indo Era
14904336,Varanga Women Purple & Off White Leheriya Striped Gotta Patti Kurta,3299.0,Purple,Varanga
17449666,Shae by SASSAFRAS Women Mauve & White Bandhani Printed Gotta Patti Anarkali Kurta,1999.0,Mauve,Shae by SASSAFRAS
16884160,Rajnandini Women Blue Abstract Kurta with Patiala & Dupatta,2663.0,Blue,Rajnandini
18686196,KARAJ JAIPUR Women Beige Printed Chanderi Cotton Kurta with Palazzos & With Dupatta,4795.0,Beige,KARAJ JAIPUR
12134668,Anouk Women Black Printed Kurta with Trousers,2499.0,Black,Anouk
16891228,Jaipur Kurti Women Pink Floral Gotta Patti Pure Cotton Kurta with Trousers & Dupatta,4649.0,Pink,Jaipur Kurti
18200178,Biba Women Blue Ethnic Motifs Printed Pure Cotton Kurta with Palazzos & Dupatta,3999.0,Blue,Biba
13091082,Yuris Women Pink & White Printed Kurta with Palazzos & Dupatta,4299.0,Pink,Yuris
17241826,KALINI Women Black Geometric Checked Thread Work Straight Kurta,1499.0,Black,KALINI
15055286,Libas Women Blue Sequinned Detail Kurta with Palazzos & Dupatta,3999.0,Blue,Libas
15054566,Biba Women Black Floral Printed Panelled Pure Cotton Kurta with Palazzos & With Dupatta,5995.0,Black,Biba
19324668,FASHOR Women Pink  Thread Work Kurta,2699.0,Pink,FASHOR
14523618,Vbuyz Women Blue Ethnic Motifs Panelled Kurti with Trousers & With Dupatta,4999.0,Blue,Vbuyz
15535316,Ishin Women Teal Embroidered Regular Sequinned Pure Cotton Kurta with Sharara & With Dupatta,7299.0,Teal,Ishin
10343559,Bhama Couture Women Blue & White Bandhani Printed Kurta with Palazzos,3599.0,Blue,Bhama Couture
14949676,Stylum Women Mustard Yellow Ethnic Motifs Yoke Design Pleated Gotta Patti Kurti with Dhoti Pants,2600.0,Mustard,Stylum
18933466,Thread & Button Women Green High Slit Kurta with Skirt & With Dupatta,4950.0,Green,Thread & Button
16505390,KALINI Women Blue Ethnic Motifs Printed Floral Anarkali Kurta,1999.0,Blue,KALINI
14208496,Indo Era Women Peach-Coloured & Pink Pure Cotton Printed Kurta with Trousers & Dupatta,5299.0,Peach,Indo Era
11023922,House of Pataudi Women Purple & Gold-Toned Embroidered Kurta Set,5999.0,Purple,House of Pataudi
14046632,Libas Women White Printed Kurti with Sharara & Dupatta,3399.0,White,Libas
14925534,Anouk Women Green & White Ethnic Motifs Printed Cotton Kurta,1099.0,Green,Anouk
